"profile","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","mean_estimate","bias","sd","mse","coverage","power","fail_rate","n_valid_est"
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.5,0,"both",25,10,2.04656764069519,0.0465676406951888,0.47146973232415,0.22356311882373,0.94,0.996,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.5,0.01,"both",25,10,2.02726883213408,0.0272688321340845,0.477411509967457,0.227753652055967,0.94,0.992,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.5,0.2,"both",25,10,1.98114391674776,-0.0188560832522386,0.510009242707307,0.259424541811909,0.912,0.988,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.5,0.5,"both",25,10,1.98416726084004,-0.0158327391599562,0.50976214301476,0.259068688310504,0.888,0.984,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.6,0,"both",25,10,2.01628667808985,0.0162866780898467,0.48626972879045,0.235777672024589,0.896,0.996,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.6,0.01,"both",25,10,1.98680450732831,-0.0131954926716865,0.485754398459322,0.235187627306936,0.948,0.98,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.6,0.2,"both",25,10,1.95647938452676,-0.0435206154732406,0.456020373308121,0.209016806519759,0.924,0.984,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.6,0.5,"both",25,10,1.97686610976788,-0.023133890232125,0.487428975043108,0.237171834566,0.928,0.98,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0,"both",25,10,1.95733339425583,-0.0426666057441709,0.463382859288,0.215685218830523,0.94,0.996,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.01,"both",25,10,1.98939374273546,-0.0106062572645415,0.470506823422225,0.220603656896487,0.944,0.996,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.2,"both",25,10,1.97299777188518,-0.0270022281148169,0.457230791711206,0.208952877224466,0.944,0.984,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,1.97035194512148,-0.0296480548785206,0.477402868758975,0.227880852260982,0.94,0.988,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.8,0,"both",25,10,1.98149233612794,-0.0185076638720552,0.517593558961845,0.267174013531675,0.904,0.972,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.8,0.01,"both",25,10,2.04628716529704,0.046287165297038,0.456607130310919,0.209798612836205,0.944,1,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.8,0.2,"both",25,10,1.93158259782825,-0.0684174021717508,0.475153737652115,0.229548931027087,0.932,0.988,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.8,0.5,"both",25,10,2.0162233086666,0.0162233086665965,0.463719970664903,0.214439262092776,0.944,0.996,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.5,0,"both",25,10,3.02482230265207,0.0248223026520663,0.457236239181403,0.208844865216021,0.924,1,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.5,0.01,"both",25,10,3.05172429776901,0.0517242977690058,0.469099683910124,0.221849698370497,0.92,1,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.5,0.2,"both",25,10,3.00687622113866,0.00687622113866497,0.454673144595069,0.205948040159452,0.944,1,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.5,0.5,"both",25,10,3.0725695485741,0.0725695485740993,0.502379497862611,0.256641958613447,0.932,1,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.6,0,"both",25,10,2.96149045690605,-0.0385095430939459,0.483450791907443,0.234272754432454,0.944,1,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.6,0.01,"both",25,10,3.01105030016705,0.0110503001670549,0.506210013157939,0.255345692245457,0.924,1,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.6,0.2,"both",25,10,3.02087139788435,0.0208713978843549,0.452754998305587,0.204602755386376,0.944,1,0,250
